follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19
1,0.4000000000000057,0.6500000000000057,0.30000000000001137,1.75,0.04999999999998295,0.09999999999999432,0.05000000000001137,1.75,0.29999999999998295,0.05000000000001137,0.6999999999999886,2.049999999999997,0.5999999999999943,0.45000000000001705,0.25,1.75,0.04999999999998295,0.05000000000001137,0.05000000000001137
2,3.1500000000000057,0.45000000000001705,0.30000000000001137,2.3999999999999986,1.6500000000000057,0.05000000000001137,0.0999999999999659,3.6999999999999957,0.549999999999983,0.25,0.5499999999999545,3.1499999999999986,3.8000000000000114,0.6000000000000227,0.6999999999999886,3.6499999999999986,0.04999999999998295,0.05000000000001137,0.05000000000001137
3,7.75,1.75,1.900000000000034,5.300000000000001,3.1999999999999886,0.25,0.25,4.5,4.199999999999989,0.25,2.5,5.299999999999997,1.5,0.8500000000000227,0.6999999999999886,4.899999999999999,2.1500000000000057,0.5,0.75
4,4.800000000000011,0.75,0.5500000000000114,6.800000000000001,6.849999999999994,0.4000000000000057,4.800000000000011,6.0,6.650000000000006,0.09999999999999432,0.3499999999999659,6.049999999999997,4.449999999999989,0.950000000000017,2.3999999999999773,6.699999999999996,2.6500000000000057,0.3499999999999943,0.05000000000001137
