follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19
1,0.4000000000000057,0.6500000000000057,0.30000000000001137,1.75,0.04999999999998295,0.09999999999999432,0.05000000000001137,1.75,0.29999999999998295,0.05000000000001137,0.6999999999999886,2.049999999999997,0.5999999999999943,0.45000000000001705,0.25,1.75,0.04999999999998295,0.05000000000001137,0.05000000000001137
2,2.75,-0.19999999999998863,0.0,0.6499999999999986,1.6000000000000227,-0.04999999999998295,0.049999999999954525,1.9499999999999957,0.25,0.19999999999998863,-0.1500000000000341,1.1000000000000014,3.200000000000017,0.15000000000000568,0.44999999999998863,1.8999999999999986,0.0,0.0,0.0
3,4.599999999999994,1.299999999999983,1.6000000000000227,2.900000000000002,1.549999999999983,0.19999999999998863,0.1500000000000341,0.8000000000000043,3.6500000000000057,0.0,1.9500000000000455,2.1499999999999986,-2.3000000000000114,0.25,0.0,1.25,2.1000000000000227,0.44999999999998863,0.6999999999999886
4,-2.9499999999999886,-1.0,-1.3500000000000227,1.5,3.6500000000000057,0.15000000000000568,4.550000000000011,1.5,2.450000000000017,-0.15000000000000568,-2.150000000000034,0.75,2.9499999999999886,0.09999999999999432,1.6999999999999886,1.7999999999999972,0.5,-0.15000000000000568,-0.6999999999999886
