follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19
1,26.34000015,19.76000023,26.34000015,0.0,26.36000061,19.73999977,26.29999924,0.0,26.34000015,19.73999977,26.31999969,0.0,26.31999969,19.73999977,26.34000015,0.0,26.34000015,19.71999931,26.31999969
2,26.34000015,19.76000023,26.34000015,0.0,26.36000061,19.73999977,26.29999924,0.0,26.34000015,19.73999977,26.31999969,0.0,26.31999969,19.73999977,26.34000015,0.0,26.34000015,19.71999931,26.31999969
3,26.34000015,19.76000023,26.34000015,0.0,26.36000061,19.73999977,26.29999924,0.0,26.34000015,19.73999977,26.31999969,0.0,26.31999969,19.73999977,26.34000015,0.0,26.34000015,19.71999931,26.31999969
4,26.34000015,19.76000023,26.34000015,0.0,26.36000061,19.73999977,26.29999924,0.0,26.34000015,19.73999977,26.31999969,0.0,26.31999969,19.73999977,26.34000015,0.0,26.34000015,19.71999931,26.31999969
