follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14
1,0.001,20.079,19.974,26.803,0.001,20.056,26.64,20.247,0.0,20.155,26.675,0.0,20.08,26.702
2,0.001,20.079,19.974,26.803,0.001,20.056,26.64,20.247,0.0,20.155,26.675,0.0,20.08,26.702
3,0.001,20.079,19.974,26.803,0.001,20.056,26.64,20.247,0.0,20.155,26.675,0.0,20.08,26.702
4,0.001,20.079,19.974,26.803,0.001,20.056,26.64,20.247,0.0,20.155,26.675,0.0,20.08,26.702
