follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19
1,33.0,22.0,33.0,3.0,33.0,23.0,33.0,1.0,33.0,23.0,33.0,2.0,33.0,23.0,33.0,3.0,33.0,23.0,33.0
2,33.0,23.0,33.0,2.0,35.0,23.0,33.0,2.0,33.0,23.0,33.0,2.0,32.0,23.0,33.0,2.0,33.0,23.0,34.0
3,33.0,23.0,33.0,3.0,34.0,23.0,33.0,3.0,32.0,22.0,33.0,2.0,33.0,23.0,33.0,2.0,32.0,23.0,33.0
4,35.0,22.0,33.0,2.0,33.0,23.0,30.0,4.0,32.0,23.0,34.0,2.0,32.0,23.0,33.0,1.0,33.0,23.0,33.0
