follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14
1,0.5999999999999943,0.39999999999997726,0.09999999999999432,0.799999999999983,0.10000000000002274,0.39999999999997726,0.3999999999997499,0.29999999999972715,0.30000000000001137,0.5999999999999659,0.5,1.3999999999999773,1.5,1.099999999999966
2,2.200000000000017,0.0,0.09999999999999432,-0.29999999999998295,0.0,0.19999999999998863,-0.10000000000002274,0.0,1.5999999999999943,0.0,0.09999999999968168,2.200000000000017,2.3999999999999773,2.5
3,1.4000000000000057,0.20000000000004547,0.30000000000001137,0.6999999999999886,0.8999999999999773,-0.5,-0.20000000000004547,-0.20000000000004547,1.700000000000017,0.0,-0.1999999999999318,-0.4000000000000057,1.5,1.7000000000000455
4,2.3999999999999773,-0.10000000000002274,-0.4000000000000057,-0.4000000000000057,-0.19999999999998863,0.5,0.20000000000004547,0.10000000000002274,1.5,0.10000000000002274,-0.10000000000002274,2.5,2.3000000000000114,2.2999999999999545
