follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19,chgt20,chgt21,chgt22,chgt23
1,4.649999999999999,1.6499999999999773,3.150000000000002,3.299999999999997,2.4000000000000057,1.1999999999999886,1.8499999999999943,3.75,7.550000000000011,1.5499999999999972,,3.8000000000000114,1.849999999999966,3.8999999999999773,2.0999999999999943,,,2.1500000000000057,6.200000000000017,2.6999999999999886,0.05000000000001137,2.5,2.5
2,5.850000000000001,4.75,4.5000000000000036,9.799999999999997,5.449999999999989,10.400000000000006,5.0,4.9500000000000455,8.75,3.299999999999997,,12.349999999999966,5.300000000000011,9.600000000000023,,5.200000000000017,5.650000000000006,6.300000000000011,10.150000000000006,5.400000000000006,7.349999999999994,,
3,7.0,6.849999999999966,5.050000000000001,14.299999999999997,8.0,12.900000000000006,7.5,12.200000000000045,11.650000000000034,5.399999999999999,,13.949999999999989,7.899999999999977,12.200000000000045,8.150000000000006,8.5,10.449999999999989,7.550000000000011,10.849999999999994,,,10.349999999999994,13.200000000000017
4,9.449999999999996,10.25,6.7500000000000036,15.5,11.050000000000011,15.0,10.950000000000017,14.550000000000011,14.150000000000034,5.649999999999999,,14.75,12.550000000000011,14.550000000000068,10.150000000000006,10.650000000000006,14.349999999999994,,,13.0,13.75,11.75,18.049999999999983
