follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19,chgt20,chgt21,chgt22,chgt23
1,4.649999999999999,1.6499999999999773,3.150000000000002,3.299999999999997,2.4000000000000057,1.1999999999999886,1.8499999999999943,3.75,7.550000000000011,1.5499999999999972,,3.8000000000000114,1.849999999999966,3.8999999999999773,2.0999999999999943,,,2.1500000000000057,6.200000000000017,2.6999999999999886,0.05000000000001137,2.5,2.5
2,1.2000000000000028,3.1000000000000227,1.3500000000000014,6.5,3.049999999999983,9.200000000000017,3.1500000000000057,1.2000000000000455,1.1999999999999886,1.75,0.0,8.549999999999955,3.4500000000000455,5.7000000000000455,,,,4.150000000000006,3.9499999999999886,2.700000000000017,7.299999999999983,,
3,1.1499999999999986,2.099999999999966,0.5499999999999972,4.5,2.5500000000000114,2.5,2.5,7.25,2.900000000000034,2.1000000000000014,0.0,1.6000000000000227,2.599999999999966,2.6000000000000227,,3.299999999999983,4.799999999999983,1.25,0.6999999999999886,,,,
4,2.4499999999999957,3.400000000000034,1.7000000000000028,1.2000000000000028,3.0500000000000114,2.0999999999999943,3.450000000000017,2.349999999999966,2.5,0.25,0.0,0.8000000000000114,4.650000000000034,2.3500000000000227,2.0,2.1500000000000057,3.9000000000000057,,,,,1.4000000000000057,4.849999999999966
