follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14
1,5.5,20.25,12.375,20.5,4.375,21.125,28.5,21.5,5.0,13.375,20.375,7.75,21.625,24.5
2,5.125,21.5,14.375,17.375,8.125,20.625,28.375,19.5,4.0,13.125,16.875,7.875,45.375,62.25
3,3.5,21.25,37.375,42.25,0.0,0.0,0.0,0.0,3.25,13.0,18.125,17.5,28.5,39.375
4,7.875,22.125,22.25,28.375,10.75,22.125,31.125,21.375,9.25,13.875,18.5,7.125,36.75,56.75
