follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19,chgt20,chgt21,chgt22,chgt23
1,0.0,24.13999939,0.0,26.37999916,19.70000076,26.44000053,19.63999939,26.15999985,19.81999969,0.0,24.12000084,26.34000015,19.84000015,26.44000053,26.31999969,-1.0,-1.0,26.31999969,19.73999977,26.31999969,19.70000076,26.34000015,19.70000076
2,0.0,24.13999939,0.0,26.37999916,19.70000076,26.44000053,19.63999939,26.15999985,19.81999969,0.0,24.12000084,26.34000015,19.84000015,26.44000053,-1.0,26.31999969,19.73999977,26.31999969,19.73999977,26.31999969,19.70000076,-1.0,-1.0
3,0.0,24.13999939,0.0,26.37999916,19.70000076,26.44000053,19.63999939,26.15999985,19.81999969,0.0,24.12000084,26.34000015,19.84000015,26.44000053,26.31999969,26.31999969,19.73999977,26.31999969,19.73999977,-1.0,-1.0,26.34000015,19.70000076
4,0.0,24.13999939,0.0,26.37999916,19.70000076,26.44000053,19.63999939,26.15999985,19.81999969,0.0,24.12000084,26.34000015,19.84000015,26.44000053,26.31999969,26.31999969,19.73999977,-1.0,-1.0,26.31999969,19.70000076,26.34000015,19.70000076
