follower,chgt1,chgt2,chgt3,chgt4,chgt5,chgt6,chgt7,chgt8,chgt9,chgt10,chgt11,chgt12,chgt13,chgt14,chgt15,chgt16,chgt17,chgt18,chgt19,chgt20,chgt21,chgt22,chgt23
1,9.0,26.0,3.0,28.0,20.0,29.0,20.0,26.0,17.0,3.0,,28.0,20.0,27.0,27.0,,,27.0,22.0,27.0,21.0,27.0,21.0
2,4.0,26.0,3.0,25.0,20.0,23.0,21.0,26.0,18.0,2.0,,22.0,20.0,24.0,,26.0,21.0,26.0,23.0,27.0,22.0,,
3,3.0,26.0,2.0,22.0,20.0,23.0,20.0,22.0,18.0,3.0,,26.0,21.0,26.0,25.0,26.0,21.0,26.0,21.0,,,26.0,22.0
4,3.0,26.0,17.0,25.0,18.0,25.0,19.0,23.0,17.0,4.0,,27.0,22.0,26.0,25.0,25.0,21.0,,,26.0,21.0,25.0,23.0
