id,veh_position,reaction_time,time,veh_mode
30_2,2.0,5.300000000000011,500.35,0.0
30_2,2.0,9.600000000000023,582.0,0.0
30_3,3.0,5.399999999999999,48.75,0.0
30_3,3.0,13.949999999999989,424.25,0.0
30_3,3.0,7.899999999999977,502.95,0.0
30_3,3.0,12.200000000000045,584.6,0.0
30_4,4.0,5.649999999999999,49.0,0.0
30_4,4.0,14.75,425.05,0.0
30_4,4.0,12.550000000000011,507.6,0.0
30_4,4.0,14.550000000000068,586.95,0.0
49_1,1.0,2.0999999999999943,124.6,0.0
49_3,3.0,8.150000000000006,130.65,0.0
49_4,4.0,10.150000000000006,132.65,0.0
50_2,2.0,5.200000000000017,136.55,0.0
50_2,2.0,5.650000000000006,219.8,0.0
50_3,3.0,8.5,139.85,0.0
50_3,3.0,10.449999999999989,224.6,0.0
50_4,4.0,10.650000000000006,142.0,0.0
50_4,4.0,14.349999999999994,228.5,0.0
51_1,1.0,2.1500000000000057,132.1,0.0
51_1,1.0,6.200000000000017,218.8,0.0
51_2,2.0,6.300000000000011,136.25,0.0
51_2,2.0,10.150000000000006,222.75,0.0
51_3,3.0,7.550000000000011,137.5,0.0
51_3,3.0,10.849999999999994,223.45,0.0
52_1,1.0,2.6999999999999886,155.95,0.0
52_1,1.0,0.05000000000001137,236.55,0.0
52_2,2.0,5.400000000000006,158.65,0.0
52_2,2.0,7.349999999999994,243.85,0.0
52_4,4.0,13.0,166.25,0.0
52_4,4.0,13.75,250.25,0.0
53_1,1.0,2.5,164.4,0.0
53_1,1.0,2.5,248.15,0.0
53_3,3.0,10.349999999999994,172.25,0.0
53_3,3.0,13.200000000000017,258.85,0.0
53_4,4.0,11.75,173.65,0.0
53_4,4.0,18.049999999999983,263.7,0.0
