Date,Heure,Time,leader_CARMA_mode,leader_Speed_command,leader_CARMA_ovr,leader_avg_speed_driven_wheels,leader_ACC_speed,leader_ACC_status,leader_GPS_CARMA_speed,leader_GPS_speed,leader_acceleration,leader_fuel_consumption,leader_CARMA_ovr_manual,leader_radar1,leader_radar7,leader_radar9,follower1_CARMA_mode,follower1_Speed_command,follower1_CARMA_ovr,follower1_avg_speed_driven_wheels,follower1_ACC_speed,follower1_ACC_status,follower1_GPS_CARMA_speed,follower1_GPS_speed,follower1_acceleration,follower1_fuel_consumption,follower1_CARMA_ovr_manual,follower1_radar1,follower1_radar7,follower1_radar9,follower2_CARMA_mode,follower2_Speed_command,follower2_CARMA_ovr,follower2_avg_speed_driven_wheels,follower2_ACC_speed,follower2_ACC_status,follower2_GPS_CARMA_speed,follower2_GPS_speed,follower2_acceleration,follower2_fuel_consumption,follower2_CARMA_ovr_manual,follower2_radar1,follower2_radar7,follower2_radar9,follower3_CARMA_mode,follower3_Speed_command,follower3_CARMA_ovr,follower3_avg_speed_driven_wheels,follower3_ACC_speed,follower3_ACC_status,follower3_GPS_CARMA_speed,follower3_GPS_speed,follower3_acceleration,follower3_fuel_consumption,follower3_CARMA_ovr_manual,follower3_radar1,follower3_radar7,follower3_radar9,follower4_CARMA_mode,follower4_Speed_command,follower4_CARMA_ovr,follower4_avg_speed_driven_wheels,follower4_ACC_speed,follower4_ACC_status,follower4_GPS_CARMA_speed,follower4_GPS_speed,follower4_acceleration,follower4_fuel_consumption,follower4_CARMA_ovr_manual,follower4_radar1,follower4_radar7,follower4_radar9
17/07/2018,13:44:01,1.0,,,,1.42361225,20.9895850125,0.0,,2.972221302688,-1.27,2.45,,0.0,0.0,0.0,0.0,0.0,0.0,5.0607679375,15.1909734375,0.0,4.822,6.472220219872,-1.27,2.675,,14.125,0.0,0.0,,,,8.56337490625,20.5555572,0,,9.749996983584,-2.15,2.35,,16.25,0.0,0.0,0.0,0.0,0.0,11.4670230625,0.0,0.0,11.309000000000001,12.527773901984,-1.07,3.175,,17.75,0.0,0.0,0.0,0.0,0.0,15.8767488125,21.4409739375,0.0,14.708,,-0.19,1.5,,70.5,100.0,0.0
17/07/2018,13:44:01,1.1,,,,1.28472325,20.9895850125,0.0,,2.7777769184,-1.27,3.325,,0.0,0.0,0.0,0.0,0.0,0.0,4.94358034375,15.1909734375,0.0,4.699,6.305553604768,-1.17,2.675,,13.625,0.0,0.0,,,,8.350701125,20.5555572,0,,9.555552599296,-2.25,2.35,,15.75,0.0,0.0,0.0,0.0,0.0,11.42796053125,0.0,0.0,11.181,12.444440594432,-1.17,3.125,,17.625,0.0,0.0,0.0,0.0,0.0,15.8941099375,21.4409739375,0.0,14.671,,-0.19,1.1,,70.5,99.875,0.0
17/07/2018,13:44:01,1.2,,,,1.1805565,20.9895850125,0.0,,2.611110303296,-1.17,3.375,,0.0,0.0,0.0,0.0,0.0,0.0,4.9045178125,15.1909734375,0.0,4.588,6.1666647588479995,-1.17,3.1,,13.375,0.0,0.0,,,,8.06858284375,20.5555572,0,,9.388885984192,-2.35,2.825,,15.625,0.0,0.0,0.0,0.0,0.0,11.35851603125,0.0,0.0,11.042,12.277773979328,-1.27,3.1,,17.25,0.0,0.0,0.0,0.0,0.0,15.8767488125,21.4409739375,0.0,14.635,,-0.19,1.05,,70.375,99.625,0.0
17/07/2018,13:44:01,1.3,,,,1.04600778125,20.9895850125,0.0,,2.444443688192,-1.17,2.55,,0.0,0.0,0.0,0.0,0.0,0.0,4.78733021875,15.1909734375,0.0,4.4719999999999995,5.999998143744,-1.17,2.675,,12.875,0.0,0.0,,,,7.84288821875,20.5555572,0,,9.194441599904,-2.35,2.375,,15.125,0.0,0.0,0.0,0.0,0.0,11.0850783125,0.0,0.0,10.894,12.166662902592002,-1.37,3.1,,17.0,0.0,0.0,0.0,0.0,0.0,15.8073043125,21.4409739375,0.0,14.597000000000001,,-0.19,0.675,,70.375,99.375,0.0
17/07/2018,13:44:01,1.4,,,,0.9288201875,20.9895850125,0.0,,2.305554842272,-1.17,3.425,,0.0,0.0,0.0,0.0,0.0,0.0,4.5225730625,15.1909734375,0.0,4.332,5.861109297824,-1.37,2.7,,12.75,0.0,0.0,,,,7.6996589375,20.5555572,0,,8.999997215616,-2.35,2.9,,14.875,0.0,0.0,0.0,0.0,0.0,10.88976565625,0.0,0.0,10.739,12.027774056672001,-1.47,3.125,,16.625,0.0,0.0,0.0,0.0,0.0,15.76824178125,21.4409739375,0.0,14.554,,-0.29,0.35,,70.375,99.0,0.0
17/07/2018,13:44:01,1.5,,,,0.82031315625,20.9895850125,0.0,,2.138888227168,-1.17,3.5,,0.0,0.0,0.0,0.0,0.0,0.0,4.37934378125,15.1909734375,0.0,4.177,5.694442682719999,-1.47,2.725,,12.25,0.0,0.0,,,,7.41754065625,20.5555572,0,,8.777775062144,-2.35,2.875,,14.375,0.0,0.0,0.0,0.0,0.0,10.79427946875,0.0,0.0,10.585,11.916662979936,-1.47,2.7,,16.5,0.0,0.0,0.0,0.0,0.0,15.72917925,21.4409739375,0.0,14.509,,-0.29,0.35,,70.25,98.875,0.0
17/07/2018,13:44:01,1.6,,,,0.694445,20.9895850125,0.0,,1.999999381248,-1.07,2.65,,0.0,0.0,0.0,0.0,0.0,0.0,4.253475625,15.1909734375,0.0,4.015,5.5555538368,-1.57,2.275,,12.0,0.0,0.0,,,,7.18316546875,20.5555572,0,,8.583330677855999,-2.35,2.85,,14.25,0.0,0.0,0.0,0.0,0.0,10.63802934375,0.0,0.0,10.443,11.777774134016,-1.47,3.175,,16.0,0.0,0.0,0.0,0.0,0.0,15.69011671875,21.4409739375,0.0,14.444,,-0.29,0.35,,70.25,98.5,0.0
17/07/2018,13:44:01,1.7,,,,0.607639375,20.9895850125,0.0,,1.833332766144,-0.98,3.55,,0.0,0.0,0.0,0.0,0.0,0.0,4.0972254999999995,15.1909734375,0.0,3.9410000000000003,5.444442760064,-1.66,2.725,,11.5,0.0,0.0,,,,6.96615140625,20.5555572,0,,8.361108524384,-2.35,2.85,,13.875,0.0,0.0,0.0,0.0,0.0,10.52084175,0.0,0.0,10.286,11.611107518912,-1.57,2.675,,15.75,0.0,0.0,0.0,0.0,0.0,15.67275559375,21.4409739375,0.0,14.369000000000002,,-0.29,0.0,,70.25,98.25,0.0
17/07/2018,13:44:01,1.8,,,,0.49045178125,20.9895850125,0.0,,1.6944439202239998,-0.98,2.675,,0.0,0.0,0.0,0.0,0.0,0.0,3.91059340625,15.1909734375,0.0,3.8080000000000003,5.222220606592,-1.66,2.3,,11.25,0.0,0.0,,,,6.6579914375,20.5555572,0,,8.166664140096,-2.35,2.375,,13.625,0.0,0.0,0.0,0.0,0.0,10.3559110625,0.0,0.0,10.13,11.499996442176002,-1.47,3.1,,15.375,0.0,0.0,0.0,0.0,0.0,15.642373625,21.4409739375,0.0,14.273,,-0.29,0.0,,70.125,97.75,0.0
17/07/2018,13:44:01,1.9,,,,0.41232671875,20.9895850125,0.0,,1.583332843488,-0.88,3.55,,0.0,0.0,0.0,0.0,0.0,0.0,3.767364125,15.1909734375,0.0,3.637,5.13888729904,-1.66,2.325,,10.875,0.0,0.0,,,,6.49306075,20.5555572,0,,7.916664217439999,-2.25,2.85,,13.25,0.0,0.0,0.0,0.0,0.0,9.947924625,0.0,0.0,9.962,11.361107596256002,-1.66,2.65,,15.125,0.0,0.0,0.0,0.0,0.0,15.59463053125,21.4409739375,0.0,14.168,,-0.29,0.0,,70.125,97.5,0.0
